Month,Count,Visa,Citizenship
2001-01-01,0.0,Residence,United Arab Emirates
2001-02-01,0.0,Residence,United Arab Emirates
2001-03-01,0.0,Residence,United Arab Emirates
2001-04-01,0.0,Residence,United Arab Emirates
2001-05-01,0.0,Residence,United Arab Emirates
2001-06-01,0.0,Residence,United Arab Emirates
2001-07-01,0.0,Residence,United Arab Emirates
2001-08-01,0.0,Residence,United Arab Emirates
2001-09-01,0.0,Residence,United Arab Emirates
2001-10-01,0.0,Residence,United Arab Emirates
2001-11-01,0.0,Residence,United Arab Emirates
2001-12-01,0.0,Residence,United Arab Emirates
2002-01-01,0.0,Residence,United Arab Emirates
2002-02-01,0.0,Residence,United Arab Emirates
2002-03-01,0.0,Residence,United Arab Emirates
2002-04-01,0.0,Residence,United Arab Emirates
2002-05-01,0.0,Residence,United Arab Emirates
2002-06-01,0.0,Residence,United Arab Emirates
2002-07-01,0.0,Residence,United Arab Emirates
2002-08-01,0.0,Residence,United Arab Emirates
2002-09-01,0.0,Residence,United Arab Emirates
2002-10-01,0.0,Residence,United Arab Emirates
2002-11-01,0.0,Residence,United Arab Emirates
2002-12-01,0.0,Residence,United Arab Emirates
2003-01-01,0.0,Residence,United Arab Emirates
2003-02-01,0.0,Residence,United Arab Emirates
2003-03-01,0.0,Residence,United Arab Emirates
2003-04-01,0.0,Residence,United Arab Emirates
2003-05-01,0.0,Residence,United Arab Emirates
2003-06-01,0.0,Residence,United Arab Emirates
2003-07-01,25.0,Residence,United Arab Emirates
2003-08-01,12.0,Residence,United Arab Emirates
2003-09-01,21.0,Residence,United Arab Emirates
2003-10-01,13.0,Residence,United Arab Emirates
2003-11-01,11.0,Residence,United Arab Emirates
2003-12-01,19.0,Residence,United Arab Emirates
2004-01-01,26.0,Residence,United Arab Emirates
2004-02-01,8.0,Residence,United Arab Emirates
2004-03-01,26.0,Residence,United Arab Emirates
2004-04-01,9.0,Residence,United Arab Emirates
2004-05-01,14.0,Residence,United Arab Emirates
2004-06-01,8.0,Residence,United Arab Emirates
2004-07-01,11.0,Residence,United Arab Emirates
2004-08-01,13.0,Residence,United Arab Emirates
2004-09-01,12.0,Residence,United Arab Emirates
2004-10-01,7.0,Residence,United Arab Emirates
2004-11-01,18.0,Residence,United Arab Emirates
2004-12-01,27.0,Residence,United Arab Emirates
2005-01-01,26.0,Residence,United Arab Emirates
2005-02-01,12.0,Residence,United Arab Emirates
2005-03-01,5.0,Residence,United Arab Emirates
2005-04-01,8.0,Residence,United Arab Emirates
2005-05-01,3.0,Residence,United Arab Emirates
2005-06-01,14.0,Residence,United Arab Emirates
2005-07-01,18.0,Residence,United Arab Emirates
2005-08-01,17.0,Residence,United Arab Emirates
2005-09-01,8.0,Residence,United Arab Emirates
2005-10-01,3.0,Residence,United Arab Emirates
2005-11-01,4.0,Residence,United Arab Emirates
2005-12-01,3.0,Residence,United Arab Emirates
2006-01-01,8.0,Residence,United Arab Emirates
2006-02-01,5.0,Residence,United Arab Emirates
2006-03-01,2.0,Residence,United Arab Emirates
2006-04-01,4.0,Residence,United Arab Emirates
2006-05-01,1.0,Residence,United Arab Emirates
2006-06-01,0.0,Residence,United Arab Emirates
2006-07-01,10.0,Residence,United Arab Emirates
2006-08-01,4.0,Residence,United Arab Emirates
2006-09-01,2.0,Residence,United Arab Emirates
2006-10-01,2.0,Residence,United Arab Emirates
2006-11-01,4.0,Residence,United Arab Emirates
2006-12-01,1.0,Residence,United Arab Emirates
2007-01-01,6.0,Residence,United Arab Emirates
2007-02-01,1.0,Residence,United Arab Emirates
2007-03-01,1.0,Residence,United Arab Emirates
2007-04-01,3.0,Residence,United Arab Emirates
2007-05-01,3.0,Residence,United Arab Emirates
2007-06-01,9.0,Residence,United Arab Emirates
2007-07-01,11.0,Residence,United Arab Emirates
2007-08-01,0.0,Residence,United Arab Emirates
