Month,Count,Direction,CLPR,Visa,Citizenship
2001-01-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2001-01-01,942,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2001-01-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2001-01-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2001-01-01,942,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2001-01-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2001-01-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2001-02-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2001-02-01,1418,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2001-02-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2001-02-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2001-02-01,1418,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2001-02-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2001-02-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2001-03-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2001-03-01,1070,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2001-03-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2001-03-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2001-03-01,1070,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2001-03-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2001-03-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2001-04-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2001-04-01,826,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2001-04-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2001-04-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2001-04-01,826,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2001-04-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2001-04-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2001-05-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2001-05-01,696,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2001-05-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2001-05-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2001-05-01,696,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2001-05-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2001-05-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2001-06-01,1,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2001-06-01,1012,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2001-06-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2001-06-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2001-06-01,1013,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2001-06-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2001-06-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2001-07-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2001-07-01,1621,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2001-07-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2001-07-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2001-07-01,1621,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2001-07-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2001-07-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2001-08-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2001-08-01,1477,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2001-08-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2001-08-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2001-08-01,1477,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2001-08-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2001-08-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2001-09-01,3,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2001-09-01,1606,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2001-09-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2001-09-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2001-09-01,1609,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2001-09-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2001-09-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2001-10-01,3,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2001-10-01,1336,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2001-10-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2001-10-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2001-10-01,1339,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2001-10-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2001-10-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2001-11-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2001-11-01,1370,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2001-11-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2001-11-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2001-11-01,1370,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2001-11-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2001-11-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2001-12-01,1,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2001-12-01,725,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2001-12-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2001-12-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2001-12-01,726,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2001-12-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2001-12-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2002-01-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2002-01-01,2365,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2002-01-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2002-01-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2002-01-01,2365,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2002-01-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2002-01-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2002-02-01,1,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2002-02-01,2042,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2002-02-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2002-02-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2002-02-01,2043,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2002-02-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2002-02-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2002-03-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2002-03-01,1984,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2002-03-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2002-03-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2002-03-01,1984,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2002-03-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2002-03-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2002-04-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2002-04-01,1989,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2002-04-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2002-04-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2002-04-01,1989,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2002-04-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2002-04-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2002-05-01,1,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2002-05-01,1313,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2002-05-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2002-05-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2002-05-01,1314,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2002-05-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2002-05-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2002-06-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2002-06-01,1437,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2002-06-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2002-06-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2002-06-01,1437,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2002-06-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2002-06-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2002-07-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2002-07-01,2245,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2002-07-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2002-07-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2002-07-01,2245,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2002-07-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2002-07-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2002-08-01,1,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2002-08-01,1997,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2002-08-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2002-08-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2002-08-01,1998,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2002-08-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2002-08-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2002-09-01,2,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2002-09-01,1987,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2002-09-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2002-09-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2002-09-01,1989,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2002-09-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2002-09-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2002-10-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2002-10-01,1598,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2002-10-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2002-10-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2002-10-01,1598,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2002-10-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2002-10-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2002-11-01,1,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2002-11-01,1476,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2002-11-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2002-11-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2002-11-01,1477,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2002-11-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2002-11-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2002-12-01,1,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2002-12-01,811,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2002-12-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2002-12-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2002-12-01,812,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2002-12-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2002-12-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2003-01-01,2,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2003-01-01,1875,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2003-01-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2003-01-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2003-01-01,1877,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2003-01-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2003-01-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2003-02-01,2,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2003-02-01,2028,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2003-02-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2003-02-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2003-02-01,2030,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2003-02-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2003-02-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2003-03-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2003-03-01,1437,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2003-03-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2003-03-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2003-03-01,1437,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2003-03-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2003-03-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2003-04-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2003-04-01,1189,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2003-04-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2003-04-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2003-04-01,1189,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2003-04-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2003-04-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2003-05-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2003-05-01,819,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2003-05-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2003-05-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2003-05-01,819,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2003-05-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2003-05-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2003-06-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2003-06-01,833,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2003-06-01,0,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2003-06-01,0,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2003-06-01,833,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2003-06-01,0,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2003-06-01,0,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2003-07-01,2,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2003-07-01,25,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2003-07-01,240,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2003-07-01,1101,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2003-07-01,1501,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2003-07-01,74,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2003-07-01,59,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2003-08-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2003-08-01,27,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2003-08-01,182,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2003-08-01,529,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2003-08-01,868,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2003-08-01,84,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2003-08-01,46,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2003-09-01,1,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2003-09-01,17,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2003-09-01,235,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2003-09-01,550,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2003-09-01,918,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2003-09-01,89,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2003-09-01,26,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2003-10-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2003-10-01,15,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2003-10-01,215,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2003-10-01,371,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2003-10-01,712,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2003-10-01,87,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2003-10-01,24,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2003-11-01,1,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2003-11-01,7,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2003-11-01,185,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2003-11-01,322,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2003-11-01,651,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2003-11-01,121,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2003-11-01,15,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2003-12-01,2,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2003-12-01,7,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2003-12-01,152,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2003-12-01,129,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2003-12-01,380,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2003-12-01,63,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2003-12-01,27,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2004-01-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2004-01-01,13,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2004-01-01,185,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2004-01-01,458,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2004-01-01,763,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2004-01-01,87,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2004-01-01,20,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2004-02-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2004-02-01,15,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2004-02-01,232,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2004-02-01,516,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2004-02-01,866,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2004-02-01,76,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2004-02-01,27,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2004-03-01,1,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
