Month,Count,Direction,CLPR,Visa,Citizenship
2001-01-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2001-01-01,193,Arrivals,India,Other,Non-New Zealand
2001-01-01,0,Arrivals,India,Residence,Non-New Zealand
2001-01-01,0,Arrivals,India,Student,Non-New Zealand
2001-01-01,193,Arrivals,India,TOTAL,Non-New Zealand
2001-01-01,0,Arrivals,India,Visitor,Non-New Zealand
2001-01-01,0,Arrivals,India,Work,Non-New Zealand
2001-02-01,1,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2001-02-01,472,Arrivals,India,Other,Non-New Zealand
2001-02-01,0,Arrivals,India,Residence,Non-New Zealand
2001-02-01,0,Arrivals,India,Student,Non-New Zealand
2001-02-01,473,Arrivals,India,TOTAL,Non-New Zealand
2001-02-01,0,Arrivals,India,Visitor,Non-New Zealand
2001-02-01,0,Arrivals,India,Work,Non-New Zealand
2001-03-01,2,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2001-03-01,289,Arrivals,India,Other,Non-New Zealand
2001-03-01,0,Arrivals,India,Residence,Non-New Zealand
2001-03-01,0,Arrivals,India,Student,Non-New Zealand
2001-03-01,291,Arrivals,India,TOTAL,Non-New Zealand
2001-03-01,0,Arrivals,India,Visitor,Non-New Zealand
2001-03-01,0,Arrivals,India,Work,Non-New Zealand
2001-04-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2001-04-01,303,Arrivals,India,Other,Non-New Zealand
2001-04-01,0,Arrivals,India,Residence,Non-New Zealand
2001-04-01,0,Arrivals,India,Student,Non-New Zealand
2001-04-01,303,Arrivals,India,TOTAL,Non-New Zealand
2001-04-01,0,Arrivals,India,Visitor,Non-New Zealand
2001-04-01,0,Arrivals,India,Work,Non-New Zealand
2001-05-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2001-05-01,423,Arrivals,India,Other,Non-New Zealand
2001-05-01,0,Arrivals,India,Residence,Non-New Zealand
2001-05-01,0,Arrivals,India,Student,Non-New Zealand
2001-05-01,423,Arrivals,India,TOTAL,Non-New Zealand
2001-05-01,0,Arrivals,India,Visitor,Non-New Zealand
2001-05-01,0,Arrivals,India,Work,Non-New Zealand
2001-06-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2001-06-01,426,Arrivals,India,Other,Non-New Zealand
2001-06-01,0,Arrivals,India,Residence,Non-New Zealand
2001-06-01,0,Arrivals,India,Student,Non-New Zealand
2001-06-01,426,Arrivals,India,TOTAL,Non-New Zealand
2001-06-01,0,Arrivals,India,Visitor,Non-New Zealand
2001-06-01,0,Arrivals,India,Work,Non-New Zealand
2001-07-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2001-07-01,547,Arrivals,India,Other,Non-New Zealand
2001-07-01,0,Arrivals,India,Residence,Non-New Zealand
2001-07-01,0,Arrivals,India,Student,Non-New Zealand
2001-07-01,547,Arrivals,India,TOTAL,Non-New Zealand
2001-07-01,0,Arrivals,India,Visitor,Non-New Zealand
2001-07-01,0,Arrivals,India,Work,Non-New Zealand
2001-08-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2001-08-01,412,Arrivals,India,Other,Non-New Zealand
2001-08-01,0,Arrivals,India,Residence,Non-New Zealand
2001-08-01,0,Arrivals,India,Student,Non-New Zealand
2001-08-01,412,Arrivals,India,TOTAL,Non-New Zealand
2001-08-01,0,Arrivals,India,Visitor,Non-New Zealand
2001-08-01,0,Arrivals,India,Work,Non-New Zealand
2001-09-01,1,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2001-09-01,499,Arrivals,India,Other,Non-New Zealand
2001-09-01,0,Arrivals,India,Residence,Non-New Zealand
2001-09-01,0,Arrivals,India,Student,Non-New Zealand
2001-09-01,500,Arrivals,India,TOTAL,Non-New Zealand
2001-09-01,0,Arrivals,India,Visitor,Non-New Zealand
2001-09-01,0,Arrivals,India,Work,Non-New Zealand
2001-10-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2001-10-01,545,Arrivals,India,Other,Non-New Zealand
2001-10-01,0,Arrivals,India,Residence,Non-New Zealand
2001-10-01,0,Arrivals,India,Student,Non-New Zealand
2001-10-01,545,Arrivals,India,TOTAL,Non-New Zealand
2001-10-01,0,Arrivals,India,Visitor,Non-New Zealand
2001-10-01,0,Arrivals,India,Work,Non-New Zealand
2001-11-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2001-11-01,537,Arrivals,India,Other,Non-New Zealand
2001-11-01,0,Arrivals,India,Residence,Non-New Zealand
2001-11-01,0,Arrivals,India,Student,Non-New Zealand
2001-11-01,537,Arrivals,India,TOTAL,Non-New Zealand
2001-11-01,0,Arrivals,India,Visitor,Non-New Zealand
2001-11-01,0,Arrivals,India,Work,Non-New Zealand
2001-12-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2001-12-01,406,Arrivals,India,Other,Non-New Zealand
2001-12-01,0,Arrivals,India,Residence,Non-New Zealand
2001-12-01,0,Arrivals,India,Student,Non-New Zealand
2001-12-01,406,Arrivals,India,TOTAL,Non-New Zealand
2001-12-01,0,Arrivals,India,Visitor,Non-New Zealand
2001-12-01,0,Arrivals,India,Work,Non-New Zealand
2002-01-01,1,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2002-01-01,575,Arrivals,India,Other,Non-New Zealand
2002-01-01,0,Arrivals,India,Residence,Non-New Zealand
2002-01-01,0,Arrivals,India,Student,Non-New Zealand
2002-01-01,576,Arrivals,India,TOTAL,Non-New Zealand
2002-01-01,0,Arrivals,India,Visitor,Non-New Zealand
2002-01-01,0,Arrivals,India,Work,Non-New Zealand
2002-02-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2002-02-01,949,Arrivals,India,Other,Non-New Zealand
2002-02-01,0,Arrivals,India,Residence,Non-New Zealand
2002-02-01,0,Arrivals,India,Student,Non-New Zealand
2002-02-01,949,Arrivals,India,TOTAL,Non-New Zealand
2002-02-01,0,Arrivals,India,Visitor,Non-New Zealand
2002-02-01,0,Arrivals,India,Work,Non-New Zealand
2002-03-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2002-03-01,734,Arrivals,India,Other,Non-New Zealand
2002-03-01,0,Arrivals,India,Residence,Non-New Zealand
2002-03-01,0,Arrivals,India,Student,Non-New Zealand
2002-03-01,734,Arrivals,India,TOTAL,Non-New Zealand
2002-03-01,0,Arrivals,India,Visitor,Non-New Zealand
2002-03-01,0,Arrivals,India,Work,Non-New Zealand
2002-04-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2002-04-01,610,Arrivals,India,Other,Non-New Zealand
2002-04-01,0,Arrivals,India,Residence,Non-New Zealand
2002-04-01,0,Arrivals,India,Student,Non-New Zealand
2002-04-01,610,Arrivals,India,TOTAL,Non-New Zealand
2002-04-01,0,Arrivals,India,Visitor,Non-New Zealand
2002-04-01,0,Arrivals,India,Work,Non-New Zealand
2002-05-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2002-05-01,732,Arrivals,India,Other,Non-New Zealand
2002-05-01,0,Arrivals,India,Residence,Non-New Zealand
2002-05-01,0,Arrivals,India,Student,Non-New Zealand
2002-05-01,732,Arrivals,India,TOTAL,Non-New Zealand
2002-05-01,0,Arrivals,India,Visitor,Non-New Zealand
2002-05-01,0,Arrivals,India,Work,Non-New Zealand
2002-06-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2002-06-01,827,Arrivals,India,Other,Non-New Zealand
2002-06-01,0,Arrivals,India,Residence,Non-New Zealand
2002-06-01,0,Arrivals,India,Student,Non-New Zealand
2002-06-01,827,Arrivals,India,TOTAL,Non-New Zealand
2002-06-01,0,Arrivals,India,Visitor,Non-New Zealand
2002-06-01,0,Arrivals,India,Work,Non-New Zealand
2002-07-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2002-07-01,882,Arrivals,India,Other,Non-New Zealand
2002-07-01,0,Arrivals,India,Residence,Non-New Zealand
2002-07-01,0,Arrivals,India,Student,Non-New Zealand
2002-07-01,882,Arrivals,India,TOTAL,Non-New Zealand
2002-07-01,0,Arrivals,India,Visitor,Non-New Zealand
2002-07-01,0,Arrivals,India,Work,Non-New Zealand
2002-08-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2002-08-01,607,Arrivals,India,Other,Non-New Zealand
2002-08-01,0,Arrivals,India,Residence,Non-New Zealand
2002-08-01,0,Arrivals,India,Student,Non-New Zealand
2002-08-01,607,Arrivals,India,TOTAL,Non-New Zealand
2002-08-01,0,Arrivals,India,Visitor,Non-New Zealand
2002-08-01,0,Arrivals,India,Work,Non-New Zealand
2002-09-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2002-09-01,706,Arrivals,India,Other,Non-New Zealand
2002-09-01,0,Arrivals,India,Residence,Non-New Zealand
2002-09-01,0,Arrivals,India,Student,Non-New Zealand
2002-09-01,706,Arrivals,India,TOTAL,Non-New Zealand
2002-09-01,0,Arrivals,India,Visitor,Non-New Zealand
2002-09-01,0,Arrivals,India,Work,Non-New Zealand
2002-10-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2002-10-01,636,Arrivals,India,Other,Non-New Zealand
2002-10-01,0,Arrivals,India,Residence,Non-New Zealand
2002-10-01,0,Arrivals,India,Student,Non-New Zealand
2002-10-01,636,Arrivals,India,TOTAL,Non-New Zealand
2002-10-01,0,Arrivals,India,Visitor,Non-New Zealand
2002-10-01,0,Arrivals,India,Work,Non-New Zealand
