Month,Count,Direction,CLPR,Visa,Citizenship
2001-01-01,1,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2001-01-01,52,Arrivals,Philippines,Other,Non-New Zealand
2001-01-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2001-01-01,0,Arrivals,Philippines,Student,Non-New Zealand
2001-01-01,53,Arrivals,Philippines,TOTAL,Non-New Zealand
2001-01-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2001-01-01,0,Arrivals,Philippines,Work,Non-New Zealand
2001-02-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2001-02-01,98,Arrivals,Philippines,Other,Non-New Zealand
2001-02-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2001-02-01,0,Arrivals,Philippines,Student,Non-New Zealand
2001-02-01,98,Arrivals,Philippines,TOTAL,Non-New Zealand
2001-02-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2001-02-01,0,Arrivals,Philippines,Work,Non-New Zealand
2001-03-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2001-03-01,84,Arrivals,Philippines,Other,Non-New Zealand
2001-03-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2001-03-01,0,Arrivals,Philippines,Student,Non-New Zealand
2001-03-01,84,Arrivals,Philippines,TOTAL,Non-New Zealand
2001-03-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2001-03-01,0,Arrivals,Philippines,Work,Non-New Zealand
2001-04-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2001-04-01,90,Arrivals,Philippines,Other,Non-New Zealand
2001-04-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2001-04-01,0,Arrivals,Philippines,Student,Non-New Zealand
2001-04-01,90,Arrivals,Philippines,TOTAL,Non-New Zealand
2001-04-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2001-04-01,0,Arrivals,Philippines,Work,Non-New Zealand
2001-05-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2001-05-01,114,Arrivals,Philippines,Other,Non-New Zealand
2001-05-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2001-05-01,0,Arrivals,Philippines,Student,Non-New Zealand
2001-05-01,114,Arrivals,Philippines,TOTAL,Non-New Zealand
2001-05-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2001-05-01,0,Arrivals,Philippines,Work,Non-New Zealand
2001-06-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2001-06-01,108,Arrivals,Philippines,Other,Non-New Zealand
2001-06-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2001-06-01,0,Arrivals,Philippines,Student,Non-New Zealand
2001-06-01,108,Arrivals,Philippines,TOTAL,Non-New Zealand
2001-06-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2001-06-01,0,Arrivals,Philippines,Work,Non-New Zealand
2001-07-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2001-07-01,115,Arrivals,Philippines,Other,Non-New Zealand
2001-07-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2001-07-01,0,Arrivals,Philippines,Student,Non-New Zealand
2001-07-01,115,Arrivals,Philippines,TOTAL,Non-New Zealand
2001-07-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2001-07-01,0,Arrivals,Philippines,Work,Non-New Zealand
