Month,Count,Direction,Region
2013-01-01,180.0,Arrivals,Northland Region
2013-02-01,138.0,Arrivals,Northland Region
2013-03-01,147.0,Arrivals,Northland Region
2013-04-01,132.0,Arrivals,Northland Region
2013-05-01,126.0,Arrivals,Northland Region
2013-06-01,120.0,Arrivals,Northland Region
2013-07-01,165.0,Arrivals,Northland Region
2013-08-01,192.0,Arrivals,Northland Region
2013-09-01,201.0,Arrivals,Northland Region
2013-10-01,231.0,Arrivals,Northland Region
2013-11-01,237.0,Arrivals,Northland Region
2013-12-01,309.0,Arrivals,Northland Region
2014-01-01,165.0,Arrivals,Northland Region
2014-02-01,201.0,Arrivals,Northland Region
2014-03-01,183.0,Arrivals,Northland Region
2014-04-01,165.0,Arrivals,Northland Region
2014-05-01,174.0,Arrivals,Northland Region
2014-06-01,150.0,Arrivals,Northland Region
2014-07-01,213.0,Arrivals,Northland Region
2014-08-01,195.0,Arrivals,Northland Region
2014-09-01,216.0,Arrivals,Northland Region
2014-10-01,276.0,Arrivals,Northland Region
2014-11-01,285.0,Arrivals,Northland Region
2014-12-01,378.0,Arrivals,Northland Region
2015-01-01,249.0,Arrivals,Northland Region
2015-02-01,183.0,Arrivals,Northland Region
2015-03-01,228.0,Arrivals,Northland Region
2015-04-01,195.0,Arrivals,Northland Region
2015-05-01,177.0,Arrivals,Northland Region
2015-06-01,189.0,Arrivals,Northland Region
2015-07-01,225.0,Arrivals,Northland Region
2015-08-01,225.0,Arrivals,Northland Region
2015-09-01,267.0,Arrivals,Northland Region
2015-10-01,276.0,Arrivals,Northland Region
2015-11-01,273.0,Arrivals,Northland Region
2015-12-01,420.0,Arrivals,Northland Region
2016-01-01,279.0,Arrivals,Northland Region
2016-02-01,294.0,Arrivals,Northland Region
2016-03-01,237.0,Arrivals,Northland Region
2016-04-01,162.0,Arrivals,Northland Region
2016-05-01,192.0,Arrivals,Northland Region
2016-06-01,213.0,Arrivals,Northland Region
2016-07-01,252.0,Arrivals,Northland Region
2016-08-01,237.0,Arrivals,Northland Region
2016-09-01,249.0,Arrivals,Northland Region
2016-10-01,255.0,Arrivals,Northland Region
2016-11-01,306.0,Arrivals,Northland Region
2016-12-01,342.0,Arrivals,Northland Region
2017-01-01,258.0,Arrivals,Northland Region
2017-02-01,207.0,Arrivals,Northland Region
2017-03-01,183.0,Arrivals,Northland Region
2017-04-01,153.0,Arrivals,Northland Region
2017-05-01,177.0,Arrivals,Northland Region
2017-06-01,153.0,Arrivals,Northland Region
2017-07-01,192.0,Arrivals,Northland Region
2017-08-01,207.0,Arrivals,Northland Region
2017-09-01,222.0,Arrivals,Northland Region
2017-10-01,279.0,Arrivals,Northland Region
2017-11-01,264.0,Arrivals,Northland Region
2017-12-01,369.0,Arrivals,Northland Region
2018-01-01,195.0,Arrivals,Northland Region
2018-02-01,201.0,Arrivals,Northland Region
2018-03-01,201.0,Arrivals,Northland Region
