Month,Count,Direction,Visa
2001-01-01,0.0,Arrivals,Residence
2001-02-01,0.0,Arrivals,Residence
2001-03-01,0.0,Arrivals,Residence
2001-04-01,0.0,Arrivals,Residence
2001-05-01,0.0,Arrivals,Residence
2001-06-01,0.0,Arrivals,Residence
2001-07-01,0.0,Arrivals,Residence
2001-08-01,0.0,Arrivals,Residence
2001-09-01,0.0,Arrivals,Residence
2001-10-01,0.0,Arrivals,Residence
2001-11-01,0.0,Arrivals,Residence
2001-12-01,0.0,Arrivals,Residence
2002-01-01,0.0,Arrivals,Residence
2002-02-01,0.0,Arrivals,Residence
2002-03-01,0.0,Arrivals,Residence
2002-04-01,0.0,Arrivals,Residence
2002-05-01,0.0,Arrivals,Residence
2002-06-01,0.0,Arrivals,Residence
2002-07-01,0.0,Arrivals,Residence
2002-08-01,0.0,Arrivals,Residence
2002-09-01,0.0,Arrivals,Residence
2002-10-01,0.0,Arrivals,Residence
2002-11-01,0.0,Arrivals,Residence
2002-12-01,0.0,Arrivals,Residence
2003-01-01,0.0,Arrivals,Residence
2003-02-01,0.0,Arrivals,Residence
2003-03-01,0.0,Arrivals,Residence
2003-04-01,0.0,Arrivals,Residence
2003-05-01,0.0,Arrivals,Residence
2003-06-01,0.0,Arrivals,Residence
2003-07-01,1894.0,Arrivals,Residence
2003-08-01,1926.0,Arrivals,Residence
2003-09-01,1741.0,Arrivals,Residence
2003-10-01,1829.0,Arrivals,Residence
2003-11-01,1834.0,Arrivals,Residence
2003-12-01,1692.0,Arrivals,Residence
2004-01-01,2100.0,Arrivals,Residence
2004-02-01,1744.0,Arrivals,Residence
2004-03-01,1235.0,Arrivals,Residence
2004-04-01,1103.0,Arrivals,Residence
2004-05-01,1217.0,Arrivals,Residence
2004-06-01,1160.0,Arrivals,Residence
2004-07-01,1449.0,Arrivals,Residence
2004-08-01,1213.0,Arrivals,Residence
2004-09-01,1403.0,Arrivals,Residence
2004-10-01,1247.0,Arrivals,Residence
2004-11-01,1355.0,Arrivals,Residence
2004-12-01,1451.0,Arrivals,Residence
2005-01-01,1845.0,Arrivals,Residence
2005-02-01,1477.0,Arrivals,Residence
2005-03-01,1302.0,Arrivals,Residence
2005-04-01,1484.0,Arrivals,Residence
2005-05-01,1418.0,Arrivals,Residence
2005-06-01,1361.0,Arrivals,Residence
2005-07-01,1502.0,Arrivals,Residence
2005-08-01,1529.0,Arrivals,Residence
2005-09-01,1732.0,Arrivals,Residence
2005-10-01,1533.0,Arrivals,Residence
2005-11-01,1679.0,Arrivals,Residence
2005-12-01,1595.0,Arrivals,Residence
2006-01-01,2013.0,Arrivals,Residence
2006-02-01,1472.0,Arrivals,Residence
2006-03-01,1496.0,Arrivals,Residence
2006-04-01,1314.0,Arrivals,Residence
2006-05-01,1391.0,Arrivals,Residence
2006-06-01,1543.0,Arrivals,Residence
2006-07-01,1657.0,Arrivals,Residence
2006-08-01,1779.0,Arrivals,Residence
2006-09-01,1902.0,Arrivals,Residence
2006-10-01,1674.0,Arrivals,Residence
2006-11-01,1646.0,Arrivals,Residence
2006-12-01,1480.0,Arrivals,Residence
2007-01-01,1967.0,Arrivals,Residence
2007-02-01,1451.0,Arrivals,Residence
2007-03-01,1338.0,Arrivals,Residence
2007-04-01,1031.0,Arrivals,Residence
2007-05-01,1046.0,Arrivals,Residence
2007-06-01,1298.0,Arrivals,Residence
2007-07-01,1336.0,Arrivals,Residence
2007-08-01,1596.0,Arrivals,Residence
2007-09-01,1532.0,Arrivals,Residence
2007-10-01,1454.0,Arrivals,Residence
2007-11-01,1375.0,Arrivals,Residence
2007-12-01,1334.0,Arrivals,Residence
2008-01-01,1662.0,Arrivals,Residence
2008-02-01,1391.0,Arrivals,Residence
2008-03-01,1241.0,Arrivals,Residence
2008-04-01,1157.0,Arrivals,Residence
2008-05-01,1183.0,Arrivals,Residence
2008-06-01,1252.0,Arrivals,Residence
2008-07-01,1196.0,Arrivals,Residence
2008-08-01,1433.0,Arrivals,Residence
2008-09-01,1474.0,Arrivals,Residence
2008-10-01,1348.0,Arrivals,Residence
2008-11-01,1350.0,Arrivals,Residence
