"Estimated migration by direction, citizenship and NZ area, 12/16-month rule (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Monthly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Arrivals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Departures","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Net","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Non-New Zealand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Non-New Zealand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Non-New Zealand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Northland Region","Auckland Region","Waikato Region","Bay of Plenty Region","Gisborne Region","Hawke's Bay Region","Taranaki Region","Manawatu-Wanganui Region","Wellington Region","Tasman Region","Nelson Region","Marlborough Region","West Coast Region","Canterbury Region","Otago Region","Southland Region","Area Outside Region","Far North District","Whangarei District","Kaipara District","Auckland","Rodney local board area","Hibiscus and Bays local board area","Upper Harbour local board area","Kaipatiki local board area","Devonport-Takapuna local board area","Henderson-Massey local board area","Waitakere Ranges local board area","Great Barrier local board area","Waiheke local board area","Waitemata local board area","Whau local board area","Albert-Eden local board area","Puketapapa local board area","Orakei local board area","Maungakiekie-Tamaki local board area","Howick local board area","Mangere-Otahuhu local board area","Otara-Papatoetoe local board area","Manurewa local board area","Papakura local board area","Franklin local board area","Thames-Coromandel District","Hauraki District","Waikato District","Matamata-Piako District","Hamilton City","Waipa District","Otorohanga District","South Waikato District","Waitomo District","Taupo District","Western Bay of Plenty District","Tauranga City","Rotorua District","Whakatane District","Kawerau District","Opotiki District","Gisborne District","Wairoa District","Hastings District","Napier City","Central Hawke's Bay District","New Plymouth District","Stratford District","South Taranaki District","Ruapehu District","Whanganui District","Rangitikei District","Manawatu District","Palmerston North City","Tararua District","Horowhenua District","Kapiti Coast District","Porirua City","Upper Hutt City","Lower Hutt City","Wellington City","Masterton District","Carterton District","South Wairarapa District","Tasman District","Nelson City","Marlborough District","Kaikoura District","Buller District","Grey District","Westland District","Hurunui District","Waimakariri District","Christchurch City","Selwyn District","Ashburton District","Timaru District","Mackenzie District","Waimate District","Chatham Islands Territory","Waitaki District","Central Otago District","Queenstown-Lakes District","Dunedin City","Clutha District","Southland District","Gore District","Invercargill City","Area Outside Territorial Authority","999 Not applicable/not stated","TOTAL ALL AREAS","Northland Region","Auckland Region","Waikato Region","Bay of Plenty Region","Gisborne Region","Hawke's Bay Region","Taranaki Region","Manawatu-Wanganui Region","Wellington Region","Tasman Region","Nelson Region","Marlborough Region","West Coast Region","Canterbury Region","Otago Region","Southland Region","Area Outside Region","Far North District","Whangarei District","Kaipara District","Auckland","Rodney local board area","Hibiscus and Bays local board area","Upper Harbour local board area","Kaipatiki local board area","Devonport-Takapuna local board area","Henderson-Massey local board area","Waitakere Ranges local board area","Great Barrier local board area","Waiheke local board area","Waitemata local board area","Whau local board area","Albert-Eden local board area","Puketapapa local board area","Orakei local board area","Maungakiekie-Tamaki local board area","Howick local board area","Mangere-Otahuhu local board area","Otara-Papatoetoe local board area","Manurewa local board area","Papakura local board area","Franklin local board area","Thames-Coromandel District","Hauraki District","Waikato District","Matamata-Piako District","Hamilton City","Waipa District","Otorohanga District","South Waikato District","Waitomo District","Taupo District","Western Bay of Plenty District","Tauranga City","Rotorua District","Whakatane District","Kawerau District","Opotiki District","Gisborne District","Wairoa District","Hastings District","Napier City","Central Hawke's Bay District","New Plymouth District","Stratford District","South Taranaki District","Ruapehu District","Whanganui District","Rangitikei District","Manawatu District","Palmerston North City","Tararua District","Horowhenua District","Kapiti Coast District","Porirua City","Upper Hutt City","Lower Hutt City","Wellington City","Masterton District","Carterton District","South Wairarapa District","Tasman District","Nelson City","Marlborough District","Kaikoura District","Buller District","Grey District","Westland District","Hurunui District","Waimakariri District","Christchurch City","Selwyn District","Ashburton District","Timaru District","Mackenzie District","Waimate District","Chatham Islands Territory","Waitaki District","Central Otago District","Queenstown-Lakes District","Dunedin City","Clutha District","Southland District","Gore District","Invercargill City","Area Outside Territorial Authority","999 Not applicable/not stated","TOTAL ALL AREAS","Northland Region","Auckland Region","Waikato Region","Bay of Plenty Region","Gisborne Region","Hawke's Bay Region","Taranaki Region","Manawatu-Wanganui Region","Wellington Region","Tasman Region","Nelson Region","Marlborough Region","West Coast Region","Canterbury Region","Otago Region","Southland Region","Area Outside Region","Far North District","Whangarei District","Kaipara District","Auckland","Rodney local board area","Hibiscus and Bays local board area","Upper Harbour local board area","Kaipatiki local board area","Devonport-Takapuna local board area","Henderson-Massey local board area","Waitakere Ranges local board area","Great Barrier local board area","Waiheke local board area","Waitemata local board area","Whau local board area","Albert-Eden local board area","Puketapapa local board area","Orakei local board area","Maungakiekie-Tamaki local board area","Howick local board area","Mangere-Otahuhu local board area","Otara-Papatoetoe local board area","Manurewa local board area","Papakura local board area","Franklin local board area","Thames-Coromandel District","Hauraki District","Waikato District","Matamata-Piako District","Hamilton City","Waipa District","Otorohanga District","South Waikato District","Waitomo District","Taupo District","Western Bay of Plenty District","Tauranga City","Rotorua District","Whakatane District","Kawerau District","Opotiki District","Gisborne District","Wairoa District","Hastings District","Napier City","Central Hawke's Bay District","New Plymouth District","Stratford District","South Taranaki District","Ruapehu District","Whanganui District","Rangitikei District","Manawatu District","Palmerston North City","Tararua District","Horowhenua District","Kapiti Coast District","Porirua City","Upper Hutt City","Lower Hutt City","Wellington City","Masterton District","Carterton District","South Wairarapa District","Tasman District","Nelson City","Marlborough District","Kaikoura District","Buller District","Grey District","Westland District","Hurunui District","Waimakariri District","Christchurch City","Selwyn District","Ashburton District","Timaru District","Mackenzie District","Waimate District","Chatham Islands Territory","Waitaki District","Central Otago District","Queenstown-Lakes District","Dunedin City","Clutha District","Southland District","Gore District","Invercargill City","Area Outside Territorial Authority","999 Not applicable/not stated","TOTAL ALL AREAS"
" ","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate"
"2013M01",81,3192,399,216,18,99,72,177,645,24,54,27,24,828,354,78,0,33,45,9,3192,36,153,132,183,177,129,24,0,15,681,153,339,156,174,117,306,117,138,90,30,39,27,3,27,9,264,30,6,3,3,21,33,126,36,15,0,3,21,0,54,42,0,72,0,0,3,30,6,12,108,15,9,27,33,15,66,489,6,3,0,27,54,27,0,0,12,12,6,27,669,39,48,33,0,3,0,9,12,123,210,3,24,0,57,"..",912,7212,48,1200,144,93,9,45,15,60,234,12,24,30,6,255,135,21,0,12,30,3,1200,15,57,72,57,54,51,24,0,3,237,75,111,66,63,45,108,42,42,48,18,12,9,0,9,6,90,15,3,0,3,9,30,36,27,3,0,0,9,0,21,18,3,12,0,0,6,9,3,0,30,0,6,9,12,9,21,174,3,3,0,12,24,33,0,3,3,3,6,15,183,27,9,12,3,3,0,0,9,63,66,3,3,0,15,"..",693,3030,36,1995,252,123,12,57,57,117,411,12,33,-3,18,576,216,60,0,18,15,6,1992,21,96,63,123,126,78,3,0,9,447,78,228,90,114,72,198,78,96,42,12,27,21,3,18,3,174,12,3,3,3,12,6,93,9,15,0,3,12,0,36,24,-3,60,0,-3,-3,21,3,9,75,12,3,18,21,9,45,315,0,0,0,12,33,-3,0,-3,12,12,3,15,486,12,36,21,0,0,0,6,3,60,144,3,18,0,42,"..",219,4185
"2013M02",69,3327,402,231,18,126,60,207,711,24,51,36,15,858,363,51,0,24,33,6,3327,42,96,183,186,102,132,60,0,9,837,162,342,168,123,144,243,108,198,126,42,30,15,9,24,9,282,24,6,6,0,21,30,108,78,12,3,3,18,3,75,51,0,57,0,3,6,27,9,3,144,3,9,36,33,24,111,495,6,3,0,24,51,39,6,3,9,3,18,45,657,51,39,27,6,9,0,6,15,96,240,6,15,3,33,"..",1074,7626,27,993,105,114,12,42,18,60,264,27,18,18,15,201,111,24,0,15,12,3,993,18,48,42,60,54,42,18,0,9,183,54,99,60,51,39,75,48,33,27,12,18,3,0,6,9,66,9,0,0,0,9,24,60,15,12,0,0,12,0,21,24,0,18,0,0,3,6,0,6,39,3,3,9,9,9,18,210,6,0,0,27,15,18,0,9,3,3,3,9,156,12,9,9,3,3,0,6,6,51,42,6,12,3,9,"..",564,2604,39,2337,300,114,6,81,45,150,450,-3,36,18,3,657,255,27,0,12,24,3,2337,24,48,141,126,48,93,42,0,-3,651,108,243,108,75,102,168,60,165,99,33,12,9,12,18,0,219,15,9,9,3,12,3,48,63,0,0,-3,6,3,54,27,0,39,0,3,3,18,9,3,108,0,9,27,27,15,93,285,3,3,0,-3,36,18,6,-3,6,0,18,36,504,42,30,18,3,9,0,0,9,45,195,3,6,0,21,"..",507,5019
"2013M03",57,2973,243,297,21,111,69,111,564,30,42,48,9,753,231,60,0,21,30,3,2976,21,111,120,177,99,108,36,0,15,681,156,288,135,129,102,255,210,147,126,24,36,18,9,18,9,153,18,3,3,3,9,51,120,105,9,9,9,24,0,72,36,6,66,3,3,0,15,0,6,69,6,6,21,27,21,99,390,6,0,3,30,42,48,0,6,3,3,9,30,621,33,39,15,3,6,0,21,12,105,87,9,15,6,42,"..",726,6348,39,1260,156,117,18,51,39,90,318,15,18,33,12,264,153,21,0,15,21,3,1263,12,63,48,87,57,60,30,3,12,264,48,120,51,87,36,102,48,57,36,12,24,15,3,21,9,60,21,3,3,3,18,24,63,18,9,3,3,18,0,30,18,3,30,3,6,0,3,0,9,66,0,12,18,18,6,33,234,3,0,3,18,18,30,0,6,6,0,6,9,195,24,15,9,0,6,0,3,6,81,63,0,9,3,9,"..",546,3150,15,1713,90,180,6,60,30,18,249,12,24,15,0,489,78,39,0,6,12,0,1713,9,48,69,93,42,51,3,-3,3,420,108,168,84,39,66,153,162,87,90,9,9,3,6,-3,3,93,-3,3,0,0,-9,24,54,87,3,9,6,3,0,42,18,3,36,-3,-3,0,15,0,-3,6,6,-3,3,9,12,66,153,3,0,3,15,24,15,0,0,-3,3,0,18,426,9,21,9,3,0,0,15,6,24,27,9,3,0,33,"..",180,3198
"2013M04",51,2427,216,174,15,57,69,147,438,12,33,27,12,648,204,33,0,18,30,3,2430,12,99,99,141,96,114,51,0,6,567,126,189,105,117,114,219,123,99,105,27,21,18,3,24,12,132,12,0,3,0,12,48,66,45,12,3,3,18,0,27,24,3,60,0,12,6,15,0,9,102,3,9,21,15,18,60,312,3,3,0,12,30,27,0,3,12,0,12,21,507,33,27,45,3,3,0,6,9,93,90,9,15,3,15,"..",690,5259,45,1104,138,111,15,42,27,54,258,21,24,42,15,234,162,24,0,24,18,0,1104,15,57,39,87,36,63,21,0,9,222,36,114,36,63,51,111,39,36,48,6,9,15,0,15,6,69,12,3,3,3,6,12,66,24,6,0,0,15,0,21,21,3,24,0,0,0,9,0,0,39,0,3,15,21,9,39,165,6,0,3,21,24,42,3,3,3,6,6,6,171,18,21,6,3,0,0,6,3,120,36,0,9,0,15,"..",513,2826,6,1326,75,63,3,12,45,93,180,-9,9,-15,-3,411,42,9,0,-6,12,3,1329,-6,42,57,54,60,51,33,3,-3,345,87,75,72,54,63,105,84,66,57,21,9,0,3,6,3,63,0,0,0,-3,6,33,0,21,6,3,0,3,3,9,3,0,33,0,12,3,6,0,6,66,3,9,6,-3,9,21,147,0,3,-3,-9,9,-15,-3,-3,6,-6,9,15,333,15,6,39,0,3,0,-3,3,-27,57,9,6,3,3,"..",177,2430
"2013M05",42,2355,228,201,18,78,69,105,390,21,30,39,9,672,258,48,0,15,18,9,2355,24,90,78,126,60,99,24,0,9,495,114,231,129,84,111,237,132,147,99,30,36,6,0,24,12,123,21,3,15,3,21,30,96,54,18,3,3,18,6,42,30,3,63,0,9,12,12,3,9,63,3,3,21,18,15,39,282,12,0,3,18,30,39,0,3,3,6,6,39,519,36,36,33,0,3,0,12,9,159,66,9,18,3,27,"..",576,5133,42,1179,159,111,12,60,30,78,270,36,30,30,15,279,180,27,0,15,27,0,1182,18,51,51,69,72,45,18,0,21,252,87,108,45,63,45,90,27,45,42,15,21,12,0,21,12,78,15,0,3,3,12,15,69,18,6,0,3,15,3,36,24,0,27,0,3,9,6,0,9,39,3,12,15,18,9,30,186,6,0,3,33,30,30,0,3,3,12,6,27,189,15,18,12,0,6,0,3,12,120,45,3,12,6,6,"..",480,3021,0,1173,66,93,6,15,42,27,120,-15,-3,6,-9,393,75,21,0,3,-9,6,1173,9,39,27,60,-15,57,3,0,-12,243,27,123,81,24,66,144,105,105,57,15,15,-3,0,0,0,45,6,0,12,3,6,15,24,36,12,0,3,3,3,6,9,0,36,0,6,3,6,3,0,21,0,-9,6,0,3,9,96,6,0,-3,-15,0,9,0,3,-3,-9,3,12,333,18,18,21,0,0,0,9,-3,36,21,6,3,-6,21,"..",96,2115
"2013M06",42,2406,279,207,21,72,60,105,498,9,36,27,18,669,231,51,0,15,24,3,2409,27,96,111,147,87,120,36,0,6,501,132,195,108,114,99,219,147,114,87,45,21,6,9,18,15,174,21,12,3,3,15,36,108,54,9,0,0,21,3,51,18,0,48,0,9,9,9,3,9,63,6,6,21,24,24,60,354,9,3,6,9,36,27,0,9,3,6,12,24,528,39,39,18,6,6,0,9,3,123,87,6,9,0,36,"..",537,5277,39,1233,186,144,18,63,27,81,270,30,15,27,18,255,186,27,0,18,21,0,1233,15,54,66,78,60,63,27,0,3,279,57,126,60,78,42,75,30,42,36,15,21,3,3,21,15,105,12,0,9,0,21,30,84,24,3,0,3,18,6,36,15,3,21,0,6,0,12,3,3,54,3,6,3,12,15,39,189,6,3,0,30,15,27,0,12,3,3,6,6,186,24,18,6,3,0,0,9,6,81,90,3,21,0,6,"..",429,3051,6,1173,90,60,3,9,33,24,228,-21,21,0,0,417,48,24,0,0,6,3,1176,12,42,45,69,27,57,9,0,3,222,75,69,45,36,57,144,114,72,48,30,-3,0,6,0,0,69,6,12,-3,0,-6,6,21,30,6,0,0,3,-6,15,3,0,27,3,6,9,-3,3,6,9,3,3,15,9,9,21,168,0,0,3,-18,21,0,0,-3,0,3,6,15,339,15,21,12,0,6,0,6,0,42,0,3,-9,0,30,"..",111,2223
