"Estimated migration by direction, citizenship and NZ area, 12/16-month rule (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Monthly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Arrivals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Departures","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Net","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","New Zealand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","New Zealand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","New Zealand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Northland Region","Auckland Region","Waikato Region","Bay of Plenty Region","Gisborne Region","Hawke's Bay Region","Taranaki Region","Manawatu-Wanganui Region","Wellington Region","Tasman Region","Nelson Region","Marlborough Region","West Coast Region","Canterbury Region","Otago Region","Southland Region","Area Outside Region","Far North District","Whangarei District","Kaipara District","Auckland","Rodney local board area","Hibiscus and Bays local board area","Upper Harbour local board area","Kaipatiki local board area","Devonport-Takapuna local board area","Henderson-Massey local board area","Waitakere Ranges local board area","Great Barrier local board area","Waiheke local board area","Waitemata local board area","Whau local board area","Albert-Eden local board area","Puketapapa local board area","Orakei local board area","Maungakiekie-Tamaki local board area","Howick local board area","Mangere-Otahuhu local board area","Otara-Papatoetoe local board area","Manurewa local board area","Papakura local board area","Franklin local board area","Thames-Coromandel District","Hauraki District","Waikato District","Matamata-Piako District","Hamilton City","Waipa District","Otorohanga District","South Waikato District","Waitomo District","Taupo District","Western Bay of Plenty District","Tauranga City","Rotorua District","Whakatane District","Kawerau District","Opotiki District","Gisborne District","Wairoa District","Hastings District","Napier City","Central Hawke's Bay District","New Plymouth District","Stratford District","South Taranaki District","Ruapehu District","Whanganui District","Rangitikei District","Manawatu District","Palmerston North City","Tararua District","Horowhenua District","Kapiti Coast District","Porirua City","Upper Hutt City","Lower Hutt City","Wellington City","Masterton District","Carterton District","South Wairarapa District","Tasman District","Nelson City","Marlborough District","Kaikoura District","Buller District","Grey District","Westland District","Hurunui District","Waimakariri District","Christchurch City","Selwyn District","Ashburton District","Timaru District","Mackenzie District","Waimate District","Chatham Islands Territory","Waitaki District","Central Otago District","Queenstown-Lakes District","Dunedin City","Clutha District","Southland District","Gore District","Invercargill City","Area Outside Territorial Authority","999 Not applicable/not stated","TOTAL ALL AREAS","Northland Region","Auckland Region","Waikato Region","Bay of Plenty Region","Gisborne Region","Hawke's Bay Region","Taranaki Region","Manawatu-Wanganui Region","Wellington Region","Tasman Region","Nelson Region","Marlborough Region","West Coast Region","Canterbury Region","Otago Region","Southland Region","Area Outside Region","Far North District","Whangarei District","Kaipara District","Auckland","Rodney local board area","Hibiscus and Bays local board area","Upper Harbour local board area","Kaipatiki local board area","Devonport-Takapuna local board area","Henderson-Massey local board area","Waitakere Ranges local board area","Great Barrier local board area","Waiheke local board area","Waitemata local board area","Whau local board area","Albert-Eden local board area","Puketapapa local board area","Orakei local board area","Maungakiekie-Tamaki local board area","Howick local board area","Mangere-Otahuhu local board area","Otara-Papatoetoe local board area","Manurewa local board area","Papakura local board area","Franklin local board area","Thames-Coromandel District","Hauraki District","Waikato District","Matamata-Piako District","Hamilton City","Waipa District","Otorohanga District","South Waikato District","Waitomo District","Taupo District","Western Bay of Plenty District","Tauranga City","Rotorua District","Whakatane District","Kawerau District","Opotiki District","Gisborne District","Wairoa District","Hastings District","Napier City","Central Hawke's Bay District","New Plymouth District","Stratford District","South Taranaki District","Ruapehu District","Whanganui District","Rangitikei District","Manawatu District","Palmerston North City","Tararua District","Horowhenua District","Kapiti Coast District","Porirua City","Upper Hutt City","Lower Hutt City","Wellington City","Masterton District","Carterton District","South Wairarapa District","Tasman District","Nelson City","Marlborough District","Kaikoura District","Buller District","Grey District","Westland District","Hurunui District","Waimakariri District","Christchurch City","Selwyn District","Ashburton District","Timaru District","Mackenzie District","Waimate District","Chatham Islands Territory","Waitaki District","Central Otago District","Queenstown-Lakes District","Dunedin City","Clutha District","Southland District","Gore District","Invercargill City","Area Outside Territorial Authority","999 Not applicable/not stated","TOTAL ALL AREAS","Northland Region","Auckland Region","Waikato Region","Bay of Plenty Region","Gisborne Region","Hawke's Bay Region","Taranaki Region","Manawatu-Wanganui Region","Wellington Region","Tasman Region","Nelson Region","Marlborough Region","West Coast Region","Canterbury Region","Otago Region","Southland Region","Area Outside Region","Far North District","Whangarei District","Kaipara District","Auckland","Rodney local board area","Hibiscus and Bays local board area","Upper Harbour local board area","Kaipatiki local board area","Devonport-Takapuna local board area","Henderson-Massey local board area","Waitakere Ranges local board area","Great Barrier local board area","Waiheke local board area","Waitemata local board area","Whau local board area","Albert-Eden local board area","Puketapapa local board area","Orakei local board area","Maungakiekie-Tamaki local board area","Howick local board area","Mangere-Otahuhu local board area","Otara-Papatoetoe local board area","Manurewa local board area","Papakura local board area","Franklin local board area","Thames-Coromandel District","Hauraki District","Waikato District","Matamata-Piako District","Hamilton City","Waipa District","Otorohanga District","South Waikato District","Waitomo District","Taupo District","Western Bay of Plenty District","Tauranga City","Rotorua District","Whakatane District","Kawerau District","Opotiki District","Gisborne District","Wairoa District","Hastings District","Napier City","Central Hawke's Bay District","New Plymouth District","Stratford District","South Taranaki District","Ruapehu District","Whanganui District","Rangitikei District","Manawatu District","Palmerston North City","Tararua District","Horowhenua District","Kapiti Coast District","Porirua City","Upper Hutt City","Lower Hutt City","Wellington City","Masterton District","Carterton District","South Wairarapa District","Tasman District","Nelson City","Marlborough District","Kaikoura District","Buller District","Grey District","Westland District","Hurunui District","Waimakariri District","Christchurch City","Selwyn District","Ashburton District","Timaru District","Mackenzie District","Waimate District","Chatham Islands Territory","Waitaki District","Central Otago District","Queenstown-Lakes District","Dunedin City","Clutha District","Southland District","Gore District","Invercargill City","Area Outside Territorial Authority","999 Not applicable/not stated","TOTAL ALL AREAS"
" ","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate"
"2013M01",99,1023,168,180,18,72,45,111,348,24,42,27,9,342,153,42,0,39,48,12,1023,18,60,48,57,63,45,33,0,9,96,39,81,33,102,45,90,57,51,33,21,39,12,6,18,9,66,21,6,9,3,15,24,93,33,30,3,3,18,3,30,33,3,36,3,6,9,12,6,12,39,9,24,27,30,15,42,213,9,6,3,24,42,27,3,0,3,6,6,24,240,18,18,21,0,6,0,12,15,30,90,6,12,6,27,"..",309,3012,153,2283,462,345,72,189,105,201,690,33,51,30,21,447,225,81,0,57,69,24,2283,45,78,72,117,81,162,60,3,12,123,147,135,108,123,147,189,192,177,192,72,42,9,12,69,18,249,42,6,24,3,24,48,138,87,48,12,12,72,6,90,84,9,72,6,24,15,33,6,18,84,9,33,54,93,42,156,315,18,6,6,33,51,30,9,3,9,9,9,24,327,27,18,36,0,0,0,15,15,27,165,6,9,9,63,"..",429,5817,-54,-1257,-291,-165,-54,-117,-63,-87,-339,-12,-12,-3,-15,-105,-72,-39,0,-18,-24,-12,-1260,-24,-18,-24,-60,-18,-117,-27,0,-3,-27,-105,-54,-78,-27,-99,-102,-135,-129,-159,-51,-3,0,-6,-51,-9,-183,-24,-3,-15,3,-6,-27,-45,-57,-18,-12,-9,-54,-3,-60,-51,0,-39,-6,-18,-9,-21,-3,-6,-48,0,-6,-30,-63,-30,-111,-102,-6,0,-6,-9,-12,-3,-6,-3,-9,-3,-3,0,-84,-9,0,-15,0,9,0,-3,3,6,-75,0,0,-3,-36,"..",-120,-2805
"2013M02",72,789,189,147,15,57,45,78,309,18,21,15,15,243,123,27,0,18,45,9,786,27,45,24,33,42,36,21,0,3,84,36,60,33,51,36,57,54,60,45,18,21,12,12,27,9,72,24,3,12,3,15,18,78,36,18,0,0,18,0,18,33,6,36,3,6,3,21,0,6,30,3,9,18,36,12,51,180,6,3,3,15,21,18,3,0,9,6,6,18,168,21,6,21,0,0,0,6,9,33,72,3,12,3,15,"..",237,2409,174,2094,387,300,63,168,84,183,591,24,33,24,18,384,138,54,0,66,93,15,2094,66,84,66,75,72,144,42,0,6,129,129,132,93,87,99,156,171,216,189,66,75,27,9,63,27,150,36,12,15,6,45,33,147,66,30,12,9,63,6,81,69,12,51,3,27,12,30,15,15,72,15,24,36,96,45,99,282,21,6,6,27,33,27,3,6,9,3,3,24,279,33,15,18,3,0,0,6,9,24,93,6,6,6,42,"..",408,5127,-99,-1308,-198,-153,-45,-111,-36,-105,-279,-9,-9,-9,-3,-138,-15,-24,0,-45,-48,-6,-1308,-42,-39,-42,-42,-27,-105,-21,0,0,-45,-90,-75,-60,-39,-60,-99,-117,-156,-144,-45,-54,-12,3,-33,-18,-78,-12,-6,-6,-3,-30,-15,-69,-30,-15,-9,-6,-45,-6,-63,-36,-6,-15,-3,-21,-12,-9,-15,-6,-39,-12,-15,-18,-63,-33,-51,-102,-12,0,0,-9,-9,-9,-3,-3,-3,3,0,-9,-108,-9,-9,3,0,-3,0,0,0,12,-21,-3,6,-3,-27,"..",-174,-2718
"2013M03",90,741,174,165,27,63,45,42,225,18,21,21,3,237,72,30,0,36,48,6,741,24,45,27,33,36,48,24,0,3,81,39,69,42,36,27,57,39,39,33,18,27,15,6,30,12,57,18,6,15,0,15,27,75,48,18,3,3,27,3,33,21,3,30,3,12,3,6,3,3,18,3,6,21,24,12,36,117,12,0,0,18,24,21,0,0,3,0,0,12,171,15,12,18,6,0,0,6,15,18,33,3,9,9,12,"..",231,2208,159,2136,432,321,72,180,99,225,594,30,39,18,36,396,156,54,0,63,81,15,2133,24,69,51,102,57,159,57,0,6,144,93,135,72,114,126,183,222,201,213,72,39,24,9,60,18,198,54,9,21,6,30,33,117,111,36,21,3,72,9,93,60,12,75,9,15,9,42,6,21,96,6,42,27,78,42,132,282,15,6,9,30,42,18,3,12,15,9,6,33,279,24,24,18,6,0,0,12,12,30,93,9,12,6,39,"..",414,5358,-69,-1395,-258,-153,-45,-117,-54,-183,-369,-9,-18,0,-33,-162,-81,-24,0,-27,-33,-6,-1392,0,-21,-24,-69,-24,-111,-30,-3,-3,-66,-57,-66,-27,-78,-96,-123,-183,-162,-183,-51,-15,-12,-6,-30,-6,-138,-39,-3,-6,-6,-15,-6,-42,-66,-18,-21,0,-42,-9,-57,-42,-9,-45,-9,0,-6,-39,-6,-15,-78,-3,-36,-9,-54,-30,-93,-162,-3,-6,-9,-9,-18,3,0,-12,-12,-9,-6,-21,-108,-9,-12,-3,-3,3,0,-9,3,-9,-60,-3,0,3,-30,"..",-180,-3147
"2013M04",84,675,150,141,24,57,45,69,231,12,27,18,6,234,75,24,0,30,42,9,675,30,63,27,42,27,30,18,0,6,51,24,51,21,51,39,51,39,36,24,24,18,12,9,24,12,54,15,0,9,3,15,21,69,33,12,6,3,24,3,27,18,9,39,0,6,3,15,3,6,33,0,9,21,27,15,33,123,6,3,3,12,24,18,0,3,3,6,6,30,162,9,12,12,0,3,0,6,6,21,33,3,9,6,6,"..",192,2067,135,1890,453,288,63,144,78,198,603,30,42,36,21,342,159,48,0,60,60,15,1890,45,90,54,117,66,108,42,3,9,153,69,144,78,99,102,150,159,147,135,69,54,30,15,96,21,180,45,6,18,6,36,36,120,78,36,12,12,63,9,63,51,21,60,3,15,12,36,15,24,81,15,18,51,75,21,132,300,12,6,6,30,42,36,6,12,6,6,0,30,225,33,15,27,6,3,0,9,9,36,99,9,12,6,33,"..",390,4932,-54,-1218,-300,-147,-39,-90,-33,-129,-372,-15,-15,-18,-12,-108,-87,-24,0,-30,-15,-6,-1218,-15,-30,-27,-75,-39,-75,-21,0,-3,-102,-45,-93,-60,-48,-60,-99,-117,-111,-108,-48,-36,-15,-9,-75,-6,-123,-30,-6,-9,-3,-21,-12,-48,-45,-24,-9,-9,-39,-9,-36,-36,-12,-18,-3,-9,-12,-24,-9,-15,-48,-12,-9,-27,-48,-3,-96,-177,-6,-3,-3,-18,-18,-18,-6,-6,-3,0,6,0,-63,-24,-3,-12,-6,0,0,0,0,-12,-69,-3,0,0,-27,"..",-201,-2865
"2013M05",87,702,174,102,12,51,48,84,219,15,27,18,0,216,75,24,0,36,45,6,705,33,39,18,39,30,45,18,0,6,63,27,48,18,57,33,57,54,39,42,18,21,9,6,30,12,66,18,0,12,0,15,21,39,30,6,3,3,12,0,24,24,3,33,3,9,6,12,6,6,33,9,12,24,21,12,33,114,9,3,6,15,27,18,3,0,0,0,3,21,144,9,18,9,0,3,0,0,6,24,36,9,6,0,18,"..",195,2052,150,1947,423,303,69,120,87,216,513,39,51,42,18,360,150,48,0,63,63,24,1947,36,78,51,126,66,153,60,3,12,144,81,114,75,96,123,129,147,162,171,72,60,33,6,72,18,159,45,6,27,18,39,30,135,78,33,12,18,69,3,57,51,6,60,3,24,24,51,12,30,78,3,18,24,66,42,69,282,15,6,6,36,51,42,3,15,3,3,9,18,267,21,12,12,6,6,0,15,6,45,84,6,12,9,27,"..",369,4908,-63,-1248,-252,-201,-60,-69,-39,-132,-291,-21,-24,-24,-18,-144,-75,-21,0,-27,-18,-18,-1245,-3,-39,-33,-84,-36,-108,-42,-3,-3,-81,-54,-69,-57,-39,-90,-75,-93,-123,-126,-51,-39,-21,0,-42,-9,-93,-30,-6,-15,-18,-24,-9,-96,-48,-27,-9,-15,-57,-3,-33,-27,0,-30,3,-12,-18,-39,-6,-21,-48,6,-6,0,-45,-30,-36,-168,-6,-6,3,-21,-27,-24,-3,-12,-3,-3,-3,3,-120,-12,6,-3,-6,-3,0,-12,0,-18,-48,3,-6,-9,-9,"..",-174,-2859
"2013M06",75,786,156,156,27,60,48,99,237,12,12,12,12,216,84,36,0,24,45,9,786,30,48,36,36,21,51,24,0,9,63,51,69,27,60,42,63,30,33,36,24,30,12,9,12,12,69,27,3,6,0,6,21,87,30,12,3,0,30,0,24,24,9,39,3,9,3,15,0,12,33,18,15,24,21,15,39,126,3,3,3,12,12,12,3,6,0,6,0,21,141,15,21,18,0,3,0,0,6,24,51,0,12,3,21,"..",222,2256,138,1848,354,252,27,150,78,159,483,36,54,30,21,363,165,51,0,57,81,0,1848,48,72,57,93,69,138,36,0,3,117,90,111,63,93,99,150,174,156,183,45,48,12,12,57,21,159,33,9,33,9,15,36,105,72,30,3,9,30,6,75,60,12,60,3,21,6,30,6,18,66,6,24,33,72,21,93,246,6,3,9,36,54,30,3,3,12,6,3,18,249,33,27,24,3,3,0,9,12,30,105,12,12,3,36,"..",342,4557,-60,-1065,-201,-96,0,-90,-30,-60,-249,-21,-42,-21,-9,-144,-81,-15,0,-33,-36,6,-1065,-18,-24,-21,-57,-48,-84,-12,3,9,-51,-39,-45,-36,-30,-60,-84,-144,-123,-150,-24,-18,0,0,-48,-9,-90,-3,-6,-24,-6,-9,-15,-18,-39,-18,0,-6,0,-6,-51,-30,-3,-21,0,-12,-3,-12,-6,-6,-33,9,-9,-6,-54,-6,-54,-120,-3,0,-6,-21,-42,-21,-6,3,-9,-3,-3,3,-105,-18,-9,-6,-3,0,0,-6,-6,-6,-54,-9,0,-3,-15,"..",-120,-2304
