"Estimated migration by direction, citizenship and NZ area, 12/16-month rule (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Monthly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Arrivals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Departures","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Net","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","TOTAL ALL CITIZENSHIPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TOTAL ALL CITIZENSHIPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TOTAL ALL CITIZENSHIPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Northland Region","Auckland Region","Waikato Region","Bay of Plenty Region","Gisborne Region","Hawke's Bay Region","Taranaki Region","Manawatu-Wanganui Region","Wellington Region","Tasman Region","Nelson Region","Marlborough Region","West Coast Region","Canterbury Region","Otago Region","Southland Region","Area Outside Region","Far North District","Whangarei District","Kaipara District","Auckland","Rodney local board area","Hibiscus and Bays local board area","Upper Harbour local board area","Kaipatiki local board area","Devonport-Takapuna local board area","Henderson-Massey local board area","Waitakere Ranges local board area","Great Barrier local board area","Waiheke local board area","Waitemata local board area","Whau local board area","Albert-Eden local board area","Puketapapa local board area","Orakei local board area","Maungakiekie-Tamaki local board area","Howick local board area","Mangere-Otahuhu local board area","Otara-Papatoetoe local board area","Manurewa local board area","Papakura local board area","Franklin local board area","Thames-Coromandel District","Hauraki District","Waikato District","Matamata-Piako District","Hamilton City","Waipa District","Otorohanga District","South Waikato District","Waitomo District","Taupo District","Western Bay of Plenty District","Tauranga City","Rotorua District","Whakatane District","Kawerau District","Opotiki District","Gisborne District","Wairoa District","Hastings District","Napier City","Central Hawke's Bay District","New Plymouth District","Stratford District","South Taranaki District","Ruapehu District","Whanganui District","Rangitikei District","Manawatu District","Palmerston North City","Tararua District","Horowhenua District","Kapiti Coast District","Porirua City","Upper Hutt City","Lower Hutt City","Wellington City","Masterton District","Carterton District","South Wairarapa District","Tasman District","Nelson City","Marlborough District","Kaikoura District","Buller District","Grey District","Westland District","Hurunui District","Waimakariri District","Christchurch City","Selwyn District","Ashburton District","Timaru District","Mackenzie District","Waimate District","Chatham Islands Territory","Waitaki District","Central Otago District","Queenstown-Lakes District","Dunedin City","Clutha District","Southland District","Gore District","Invercargill City","Area Outside Territorial Authority","999 Not applicable/not stated","TOTAL ALL AREAS","Northland Region","Auckland Region","Waikato Region","Bay of Plenty Region","Gisborne Region","Hawke's Bay Region","Taranaki Region","Manawatu-Wanganui Region","Wellington Region","Tasman Region","Nelson Region","Marlborough Region","West Coast Region","Canterbury Region","Otago Region","Southland Region","Area Outside Region","Far North District","Whangarei District","Kaipara District","Auckland","Rodney local board area","Hibiscus and Bays local board area","Upper Harbour local board area","Kaipatiki local board area","Devonport-Takapuna local board area","Henderson-Massey local board area","Waitakere Ranges local board area","Great Barrier local board area","Waiheke local board area","Waitemata local board area","Whau local board area","Albert-Eden local board area","Puketapapa local board area","Orakei local board area","Maungakiekie-Tamaki local board area","Howick local board area","Mangere-Otahuhu local board area","Otara-Papatoetoe local board area","Manurewa local board area","Papakura local board area","Franklin local board area","Thames-Coromandel District","Hauraki District","Waikato District","Matamata-Piako District","Hamilton City","Waipa District","Otorohanga District","South Waikato District","Waitomo District","Taupo District","Western Bay of Plenty District","Tauranga City","Rotorua District","Whakatane District","Kawerau District","Opotiki District","Gisborne District","Wairoa District","Hastings District","Napier City","Central Hawke's Bay District","New Plymouth District","Stratford District","South Taranaki District","Ruapehu District","Whanganui District","Rangitikei District","Manawatu District","Palmerston North City","Tararua District","Horowhenua District","Kapiti Coast District","Porirua City","Upper Hutt City","Lower Hutt City","Wellington City","Masterton District","Carterton District","South Wairarapa District","Tasman District","Nelson City","Marlborough District","Kaikoura District","Buller District","Grey District","Westland District","Hurunui District","Waimakariri District","Christchurch City","Selwyn District","Ashburton District","Timaru District","Mackenzie District","Waimate District","Chatham Islands Territory","Waitaki District","Central Otago District","Queenstown-Lakes District","Dunedin City","Clutha District","Southland District","Gore District","Invercargill City","Area Outside Territorial Authority","999 Not applicable/not stated","TOTAL ALL AREAS","Northland Region","Auckland Region","Waikato Region","Bay of Plenty Region","Gisborne Region","Hawke's Bay Region","Taranaki Region","Manawatu-Wanganui Region","Wellington Region","Tasman Region","Nelson Region","Marlborough Region","West Coast Region","Canterbury Region","Otago Region","Southland Region","Area Outside Region","Far North District","Whangarei District","Kaipara District","Auckland","Rodney local board area","Hibiscus and Bays local board area","Upper Harbour local board area","Kaipatiki local board area","Devonport-Takapuna local board area","Henderson-Massey local board area","Waitakere Ranges local board area","Great Barrier local board area","Waiheke local board area","Waitemata local board area","Whau local board area","Albert-Eden local board area","Puketapapa local board area","Orakei local board area","Maungakiekie-Tamaki local board area","Howick local board area","Mangere-Otahuhu local board area","Otara-Papatoetoe local board area","Manurewa local board area","Papakura local board area","Franklin local board area","Thames-Coromandel District","Hauraki District","Waikato District","Matamata-Piako District","Hamilton City","Waipa District","Otorohanga District","South Waikato District","Waitomo District","Taupo District","Western Bay of Plenty District","Tauranga City","Rotorua District","Whakatane District","Kawerau District","Opotiki District","Gisborne District","Wairoa District","Hastings District","Napier City","Central Hawke's Bay District","New Plymouth District","Stratford District","South Taranaki District","Ruapehu District","Whanganui District","Rangitikei District","Manawatu District","Palmerston North City","Tararua District","Horowhenua District","Kapiti Coast District","Porirua City","Upper Hutt City","Lower Hutt City","Wellington City","Masterton District","Carterton District","South Wairarapa District","Tasman District","Nelson City","Marlborough District","Kaikoura District","Buller District","Grey District","Westland District","Hurunui District","Waimakariri District","Christchurch City","Selwyn District","Ashburton District","Timaru District","Mackenzie District","Waimate District","Chatham Islands Territory","Waitaki District","Central Otago District","Queenstown-Lakes District","Dunedin City","Clutha District","Southland District","Gore District","Invercargill City","Area Outside Territorial Authority","999 Not applicable/not stated","TOTAL ALL AREAS"
" ","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate"
"2013M01",180,4215,567,399,39,171,117,288,993,51,96,57,36,1173,507,120,0,69,90,21,4218,57,216,183,237,243,171,60,0,21,777,192,420,189,273,165,396,177,186,126,51,81,36,6,48,18,333,48,9,15,6,42,54,222,66,48,0,3,36,6,84,75,3,111,3,9,12,42,12,21,144,21,33,54,66,33,108,702,15,9,6,48,99,57,6,0,15,15,12,54,909,57,63,54,3,12,0,21,27,153,300,9,33,6,84,"..",1221,10227,201,3483,606,441,81,231,123,258,924,48,78,63,27,702,363,102,0,69,102,27,3483,57,135,144,177,135,213,81,3,18,360,222,246,177,186,195,300,234,222,240,90,51,21,15,81,21,342,57,6,27,3,33,78,174,114,51,12,15,78,6,111,102,9,87,9,27,21,42,9,21,117,9,39,66,105,51,174,489,21,9,6,45,78,60,9,9,12,9,15,36,507,54,27,45,3,3,0,18,24,87,231,9,12,12,78,"..",1122,8844,-18,735,-42,-42,-42,-60,-3,30,69,0,24,-6,6,471,144,18,0,0,-12,-6,732,-3,81,36,60,105,-42,-24,-3,6,417,-30,177,15,87,-30,96,-60,-33,-114,-39,30,21,-6,-33,-3,-9,-12,0,-9,3,6,-24,48,-45,-6,-12,-9,-42,0,-27,-27,-6,21,-3,-18,-9,0,0,3,27,15,-6,-12,-39,-21,-66,213,-6,3,-3,3,21,-6,-3,-6,3,9,-3,15,402,0,36,6,0,9,0,3,6,69,69,3,21,-6,6,"..",99,1383
"2013M02",138,4119,591,381,33,186,108,285,1020,39,75,54,30,1101,486,78,0,45,78,18,4116,66,144,207,222,144,165,78,0,12,921,201,399,201,174,180,303,159,258,168,63,51,27,21,51,18,357,48,9,21,3,33,45,186,114,30,0,0,33,3,93,84,6,93,3,9,9,48,12,12,177,6,21,57,72,33,162,675,12,6,3,39,75,54,6,3,18,9,27,60,825,75,45,48,6,9,0,15,24,129,309,9,27,6,51,"..",1311,10032,204,3087,489,414,75,210,99,243,852,54,48,42,30,582,246,75,0,81,105,18,3090,87,135,108,135,126,183,60,0,15,315,183,231,153,138,138,234,219,249,216,78,93,33,9,69,39,216,45,12,18,6,51,57,210,81,45,12,12,72,6,99,90,12,69,6,27,15,36,15,18,111,18,27,45,105,51,120,492,24,6,3,54,48,45,3,15,12,6,6,30,432,45,24,27,6,3,0,12,18,75,138,9,15,6,54,"..",975,7731,-63,1029,102,-36,-39,-27,6,42,168,-15,27,9,0,519,240,6,0,-36,-27,-3,1026,-21,9,99,84,18,-15,21,0,-3,609,15,168,48,36,42,69,-57,6,-45,-15,-42,-6,12,-18,-21,144,0,0,3,-3,-15,-12,-21,30,-12,-12,-9,-42,-3,-9,-9,-6,24,-3,-15,-6,9,-3,-6,66,-12,-6,12,-36,-18,39,180,-12,3,0,-15,27,9,3,-9,6,3,18,27,393,30,21,18,0,6,0,0,6,54,174,0,9,0,-3,"..",336,2304
"2013M03",147,3717,420,465,48,174,111,153,789,51,63,66,15,990,303,90,0,57,78,9,3717,45,156,147,210,135,156,57,0,18,762,195,357,177,165,129,312,246,186,156,45,60,30,15,48,21,210,36,9,18,0,27,75,195,150,27,12,9,48,3,105,54,9,96,3,15,3,21,3,12,90,6,15,42,54,30,135,507,18,0,3,51,63,66,0,6,6,3,9,39,792,48,51,33,9,6,0,24,27,123,120,15,24,12,51,"..",960,8559,198,3393,588,441,90,228,138,315,912,48,60,51,45,660,309,75,0,78,102,18,3393,33,129,99,189,114,219,84,3,21,408,141,252,120,204,162,285,267,261,249,87,66,39,12,84,27,255,72,9,24,9,51,57,180,129,45,21,3,90,12,123,78,15,105,15,21,9,45,9,33,162,6,54,45,99,51,165,516,18,9,9,48,57,48,3,18,18,6,18,42,474,45,39,27,9,6,0,21,18,111,153,9,21,6,45,"..",957,8508,-54,321,-168,27,-42,-54,-27,-162,-123,3,6,15,-30,330,-6,15,0,-21,-24,-6,321,12,27,48,24,18,-60,-27,-3,0,354,54,99,57,-39,-33,27,-18,-75,-93,-45,-6,-6,3,-36,-3,-45,-39,-3,-6,-12,-24,18,12,21,-18,-9,3,-39,-6,-18,-24,-6,-9,-9,-6,-3,-24,-3,-21,-75,3,-39,-6,-45,-21,-30,-9,0,-9,-9,3,6,15,0,-12,-15,-6,-9,-3,318,0,12,6,0,3,0,3,9,15,-33,6,3,6,3,"..",3,51
"2013M04",132,3102,366,318,39,111,117,219,669,24,57,42,21,885,279,57,0,48,75,9,3105,39,162,126,180,120,144,69,0,12,618,153,240,126,165,156,267,165,138,129,54,39,27,12,45,24,189,27,0,12,3,27,69,138,78,24,6,6,39,3,57,45,12,99,0,18,9,27,6,18,135,3,18,45,45,36,96,432,12,3,3,27,57,45,3,6,12,3,18,51,669,42,42,54,3,3,0,12,15,117,123,12,24,6,24,"..",882,7323,180,2994,588,399,78,189,105,255,864,51,63,78,36,579,324,72,0,84,78,15,2994,60,150,96,201,102,174,60,3,18,375,105,255,117,159,153,261,201,180,180,78,66,42,15,111,30,249,60,9,21,12,42,51,186,102,42,12,12,75,9,84,72,24,84,3,18,15,45,18,27,117,18,18,66,96,33,171,465,18,3,9,51,66,78,9,15,9,9,6,36,399,48,39,33,9,3,0,15,12,156,135,6,21,3,45,"..",903,7758,-45,111,-225,-81,-36,-78,12,-36,-192,-27,-6,-33,-15,306,-48,-18,0,-36,-3,-6,111,-21,12,30,-21,21,-24,9,0,-6,243,45,-18,9,6,3,6,-36,-45,-54,-24,-24,-15,-3,-69,-6,-60,-33,-6,-9,-6,-15,18,-48,-24,-18,-6,-6,-39,-9,-30,-30,-12,15,-3,0,-6,-15,-12,-9,18,-9,-3,-21,-51,3,-75,-33,-6,0,-6,-24,-6,-36,-9,-12,3,-6,12,15,270,-9,3,24,-3,0,0,-3,0,-42,-12,6,3,3,-24,"..",-21,-435
"2013M05",126,3057,399,303,30,129,117,189,609,33,57,54,12,891,333,72,0,48,60,18,3057,57,129,99,165,87,147,42,0,12,558,141,279,147,141,144,291,186,186,141,51,54,18,9,54,21,189,39,3,30,3,36,51,132,87,24,6,9,30,6,63,57,6,96,3,18,18,24,9,15,93,12,15,42,39,27,72,396,18,3,9,36,57,54,3,3,0,6,9,63,666,45,54,42,0,9,0,15,15,183,102,18,24,3,45,"..",771,7185,189,3129,585,414,84,183,117,291,780,72,84,72,36,639,333,75,0,72,90,27,3132,54,129,102,195,138,198,81,0,30,396,168,222,120,156,165,219,174,207,210,84,81,42,9,96,30,237,63,9,30,21,51,48,204,99,39,12,18,84,6,93,75,6,87,0,24,30,57,12,39,120,9,30,39,84,51,99,468,21,6,9,72,81,72,6,15,6,15,15,45,456,36,33,24,6,9,0,18,15,165,126,9,24,15,33,"..",849,7929,-63,-72,-186,-111,-54,-51,0,-102,-171,-36,-24,-18,-27,252,3,-3,0,-24,-30,-12,-72,3,0,-6,-27,-51,-51,-39,-3,-18,162,-27,54,24,-15,-21,69,12,-21,-69,-36,-27,-27,0,-42,-6,-48,-24,-3,0,-15,-15,6,-75,-12,-15,-6,-12,-54,0,-30,-21,0,9,3,-6,-12,-33,0,-21,-24,6,-12,3,-45,-27,-27,-72,-3,-3,0,-36,-27,-18,-6,-9,-6,-9,-3,15,210,9,24,15,-6,-3,0,-6,-3,18,-27,6,-3,-15,12,"..",-78,-744
"2013M06",120,3192,432,366,51,132,108,204,735,27,48,39,30,888,318,84,0,42,69,12,3192,57,144,147,186,108,171,60,3,15,564,183,264,135,174,141,282,177,147,120,66,48,15,18,27,30,243,48,18,12,3,21,57,195,87,21,3,3,51,0,78,45,9,87,3,18,15,27,6,24,93,21,21,45,45,39,99,480,12,6,6,27,48,39,3,15,3,9,9,42,669,54,60,33,3,9,0,12,12,147,138,9,24,6,60,"..",759,7530,174,3081,540,396,48,213,105,240,756,66,69,57,39,615,348,81,0,72,99,3,3081,63,126,123,171,132,201,63,0,9,396,144,240,123,168,144,225,204,198,219,60,72,15,12,78,36,264,48,6,42,9,36,66,189,99,33,3,9,48,15,111,75,12,81,3,24,9,39,9,21,120,9,30,36,84,36,135,435,15,6,12,66,72,57,6,15,15,9,9,24,435,54,45,27,6,3,0,18,18,111,192,15,33,6,42,"..",774,7611,-54,111,-108,-33,3,-81,0,-36,-21,-42,-21,-18,-9,270,-33,3,0,-33,-30,9,111,-6,15,24,15,-24,-27,-3,0,9,168,36,24,12,6,-3,57,-27,-51,-99,6,-21,0,6,-48,-9,-21,3,9,-30,-6,-15,-9,6,-12,-9,0,-9,3,-12,-33,-30,-3,6,3,-6,6,-15,-3,3,-27,12,-6,9,-42,3,-33,48,0,0,0,-42,-24,-18,-3,-3,-6,0,3,15,234,-3,15,6,0,6,0,-3,-6,39,-54,-9,-12,0,15,"..",-9,-75
