"Financial Year","Decision Type","Nationality","Institution Type","Count"
"2015/16","Approved","Afghanistan","(not recorded)",6
"2015/16","Approved","Afghanistan","Schools",3
"2015/16","Approved","Afghanistan","Universities",3
"2015/16","Approved","Albania","(not recorded)",3
"2015/16","Approved","Albania","Private Training Establishments",3
"2015/16","Approved","Albania","Schools",3
"2015/16","Approved","Albania","Universities",3
"2015/16","Approved","Algeria","Polytechnics",3
"2015/16","Approved","Algeria","Private Training Establishments",3
"2015/16","Approved","Algeria","Universities",0
"2015/16","Approved","Andorra","Private Training Establishments",0
"2015/16","Approved","Argentina","(not recorded)",48
"2015/16","Approved","Argentina","Polytechnics",9
"2015/16","Approved","Argentina","Private Training Establishments",168
"2015/16","Approved","Argentina","Schools",33
"2015/16","Approved","Argentina","Universities",15
"2015/16","Approved","Armenia","(not recorded)",6
"2015/16","Approved","Armenia","Schools",0
"2015/16","Approved","Armenia","Universities",3
"2015/16","Approved","Austria","(not recorded)",18
"2015/16","Approved","Austria","Polytechnics",9
"2015/16","Approved","Austria","Private Training Establishments",15
"2015/16","Approved","Austria","Schools",84
"2015/16","Approved","Austria","Universities",36
"2015/16","Approved","Azerbaijan","(not recorded)",3
"2015/16","Approved","Bahrain","Private Training Establishments",3
"2015/16","Approved","Bahrain","Universities",0
"2015/16","Approved","Bangladesh","(not recorded)",18
"2015/16","Approved","Bangladesh","Polytechnics",60
"2015/16","Approved","Bangladesh","Private Training Establishments",297
"2015/16","Approved","Bangladesh","Schools",30
"2015/16","Approved","Bangladesh","Universities",96
"2015/16","Approved","Barbados","Universities",3
"2015/16","Approved","Belarus","(not recorded)",3
"2015/16","Approved","Belarus","Polytechnics",9
"2015/16","Approved","Belarus","Private Training Establishments",12
"2015/16","Approved","Belgium","(not recorded)",24
"2015/16","Approved","Belgium","Polytechnics",0
"2015/16","Approved","Belgium","Private Training Establishments",15
"2015/16","Approved","Belgium","Schools",21
"2015/16","Approved","Belgium","Universities",12
"2015/16","Approved","Bhutan","(not recorded)",0
"2015/16","Approved","Bhutan","Polytechnics",0
"2015/16","Approved","Bhutan","Private Training Establishments",6
"2015/16","Approved","Bhutan","Universities",6
"2015/16","Approved","Bolivia","(not recorded)",0
"2015/16","Approved","Bolivia","Polytechnics",0
"2015/16","Approved","Bolivia","Private Training Establishments",6
"2015/16","Approved","Bolivia","Schools",21
"2015/16","Approved","Bolivia","Universities",0
"2015/16","Approved","Bosnia & Herzegovina","Private Training Establishments",0
"2015/16","Approved","Bosnia & Herzegovina","Universities",0
"2015/16","Approved","Botswana","(not recorded)",0
"2015/16","Approved","Botswana","Polytechnics",0
"2015/16","Approved","Botswana","Schools",3
"2015/16","Approved","Botswana","Universities",12
"2015/16","Approved","Brazil","(not recorded)",150
"2015/16","Approved","Brazil","Polytechnics",69
