"Date","Decision Type","Application Substream","Count"
2015-07-31,"Approved","Approved In Principle",78
2015-07-31,"Approved","Crew",15
2015-07-31,"Approved","Humanitarian",90
2015-07-31,"Approved","Job Search",1227
2015-07-31,"Approved","LTBV/Investor",30
2015-07-31,"Approved","Other",2862
2015-07-31,"Approved","Relationship",2997
2015-07-31,"Approved","Section 61",273
2015-07-31,"Approved","Skilled Migrant",21
2015-07-31,"Approved","Skilled Work",3633
2015-07-31,"Approved","Work -RSE",24
2015-07-31,"Approved","Work to Residence",273
2015-07-31,"Approved","Working Holiday",5700
2015-07-31,"Declined","Approved In Principle",15
2015-07-31,"Declined","Humanitarian",15
2015-07-31,"Declined","Job Search",12
2015-07-31,"Declined","LTBV/Investor",45
2015-07-31,"Declined","Other",84
2015-07-31,"Declined","Relationship",186
2015-07-31,"Declined","Section 61",3
2015-07-31,"Declined","Skilled Work",405
2015-07-31,"Declined","Work -RSE",3
2015-07-31,"Declined","Work to Residence",24
2015-07-31,"Declined","Working Holiday",198
2015-08-31,"Approved","Approved In Principle",87
2015-08-31,"Approved","Crew",27
2015-08-31,"Approved","Humanitarian",69
2015-08-31,"Approved","Job Search",1806
2015-08-31,"Approved","LTBV/Investor",33
2015-08-31,"Approved","Other",2562
2015-08-31,"Approved","Relationship",3078
2015-08-31,"Approved","Section 61",216
2015-08-31,"Approved","Skilled Migrant",12
2015-08-31,"Approved","Skilled Work",2994
2015-08-31,"Approved","Work -RSE",42
2015-08-31,"Approved","Work to Residence",246
2015-08-31,"Approved","Working Holiday",5883
2015-08-31,"Declined","Approved In Principle",15
2015-08-31,"Declined","Humanitarian",12
2015-08-31,"Declined","Job Search",24
2015-08-31,"Declined","LTBV/Investor",81
2015-08-31,"Declined","Other",87
2015-08-31,"Declined","Relationship",174
2015-08-31,"Declined","Section 61",0
2015-08-31,"Declined","Skilled Work",339
2015-08-31,"Declined","Work to Residence",30
2015-08-31,"Declined","Working Holiday",141
2015-09-30,"Approved","Approved In Principle",93
2015-09-30,"Approved","Crew",75
2015-09-30,"Approved","Humanitarian",102
2015-09-30,"Approved","Job Search",1413
2015-09-30,"Approved","LTBV/Investor",21
2015-09-30,"Approved","Other",2955
2015-09-30,"Approved","Relationship",3183
