"Financial Year","Decision Type","Nationality","Occupation Skill Level","Count"
"2015/16","Approved","Afghanistan","(not recorded)",132
"2015/16","Approved","Afghanistan","Skill level 1",3
"2015/16","Approved","Afghanistan","Skill level 3",3
"2015/16","Approved","Albania","(not recorded)",9
"2015/16","Approved","Albania","Skill level 2",0
"2015/16","Approved","Albania","Skill level 3",6
"2015/16","Approved","Algeria","(not recorded)",12
"2015/16","Approved","Algeria","Skill level 1",0
"2015/16","Approved","Algeria","Skill level 2",3
"2015/16","Approved","American Samoa","(not recorded)",3
"2015/16","Approved","Andorra","(not recorded)",3
"2015/16","Approved","Angola","(not recorded)",0
"2015/16","Approved","Antigua & Barbuda","Skill level 1",3
"2015/16","Approved","Argentina","(not recorded)",1614
"2015/16","Approved","Argentina","Skill level 1",153
"2015/16","Approved","Argentina","Skill level 2",90
"2015/16","Approved","Argentina","Skill level 3",75
"2015/16","Approved","Argentina","Skill level 4",57
"2015/16","Approved","Argentina","Skill level 5",183
"2015/16","Approved","Armenia","(not recorded)",9
"2015/16","Approved","Armenia","Skill level 1",6
"2015/16","Approved","Armenia","Skill level 3",0
"2015/16","Approved","Australia","(not recorded)",0
"2015/16","Approved","Australia","Skill level 1",0
"2015/16","Approved","Austria","(not recorded)",168
"2015/16","Approved","Austria","Skill level 1",30
"2015/16","Approved","Austria","Skill level 2",30
"2015/16","Approved","Austria","Skill level 3",51
"2015/16","Approved","Austria","Skill level 4",9
"2015/16","Approved","Austria","Skill level 5",27
"2015/16","Approved","Azerbaijan","(not recorded)",3
"2015/16","Approved","Bahrain","(not recorded)",3
"2015/16","Approved","Bangladesh","(not recorded)",372
"2015/16","Approved","Bangladesh","Skill level 1",18
"2015/16","Approved","Bangladesh","Skill level 2",54
"2015/16","Approved","Bangladesh","Skill level 3",72
"2015/16","Approved","Bangladesh","Skill level 4",42
"2015/16","Approved","Bangladesh","Skill level 5",6
"2015/16","Approved","Barbados","(not recorded)",0
"2015/16","Approved","Barbados","Skill level 1",0
"2015/16","Approved","Belarus","(not recorded)",18
"2015/16","Approved","Belarus","Skill level 1",6
"2015/16","Approved","Belarus","Skill level 3",3
"2015/16","Approved","Belarus","Skill level 4",3
"2015/16","Approved","Belarus","Skill level 5",3
"2015/16","Approved","Belgium","(not recorded)",744
"2015/16","Approved","Belgium","Skill level 1",45
"2015/16","Approved","Belgium","Skill level 2",9
"2015/16","Approved","Belgium","Skill level 3",6
"2015/16","Approved","Belgium","Skill level 4",6
"2015/16","Approved","Belgium","Skill level 5",3
"2015/16","Approved","Benin","(not recorded)",3
"2015/16","Approved","Bermuda","Skill level 1",0
"2015/16","Approved","Bhutan","(not recorded)",6
"2015/16","Approved","Bolivia","(not recorded)",3
"2015/16","Approved","Bolivia","Skill level 2",0
"2015/16","Approved","Bosnia & Herzegovina","(not recorded)",6
"2015/16","Approved","Botswana","(not recorded)",6
"2015/16","Approved","Botswana","Skill level 3",3
"2015/16","Approved","Brazil","(not recorded)",1116
"2015/16","Approved","Brazil","Skill level 1",285
"2015/16","Approved","Brazil","Skill level 2",168
"2015/16","Approved","Brazil","Skill level 3",327
"2015/16","Approved","Brazil","Skill level 4",114
"2015/16","Approved","Brazil","Skill level 5",417
"2015/16","Approved","Brunei Darussalam","(not recorded)",6
"2015/16","Approved","Brunei Darussalam","Skill level 1",3
"2015/16","Approved","Bulgaria","(not recorded)",30
"2015/16","Approved","Bulgaria","Skill level 1",12
"2015/16","Approved","Bulgaria","Skill level 2",3
"2015/16","Approved","Bulgaria","Skill level 3",9
"2015/16","Approved","Bulgaria","Skill level 4",6
"2015/16","Approved","Bulgaria","Skill level 5",9
"2015/16","Approved","Burkina Faso","(not recorded)",3
"2015/16","Approved","Burundi","(not recorded)",3
"2015/16","Approved","Cambodia","(not recorded)",267
"2015/16","Approved","Cambodia","Skill level 1",6
"2015/16","Approved","Cambodia","Skill level 2",15
"2015/16","Approved","Cambodia","Skill level 3",12
"2015/16","Approved","Cambodia","Skill level 4",6
"2015/16","Approved","Cambodia","Skill level 5",0
"2015/16","Approved","Cameroon","(not recorded)",9
"2015/16","Approved","Cameroon","Skill level 1",0
"2015/16","Approved","Canada","(not recorded)",3195
"2015/16","Approved","Canada","Skill level 1",456
"2015/16","Approved","Canada","Skill level 2",84
"2015/16","Approved","Canada","Skill level 3",120
"2015/16","Approved","Canada","Skill level 4",87
"2015/16","Approved","Canada","Skill level 5",33
"2015/16","Approved","Cape Verde","(not recorded)",3
"2015/16","Approved","Chad","(not recorded)",6
"2015/16","Approved","Chile","(not recorded)",1542
"2015/16","Approved","Chile","Skill level 1",156
"2015/16","Approved","Chile","Skill level 2",93
"2015/16","Approved","Chile","Skill level 3",108
"2015/16","Approved","Chile","Skill level 4",45
"2015/16","Approved","Chile","Skill level 5",204
"2015/16","Approved","China","(not recorded)",10734
"2015/16","Approved","China","Skill level 1",2952
"2015/16","Approved","China","Skill level 2",2340
"2015/16","Approved","China","Skill level 3",732
"2015/16","Approved","China","Skill level 4",4860
"2015/16","Approved","China","Skill level 5",249
"2015/16","Approved","Colombia","(not recorded)",186
"2015/16","Approved","Colombia","Skill level 1",54
"2015/16","Approved","Colombia","Skill level 2",30
"2015/16","Approved","Colombia","Skill level 3",15
"2015/16","Approved","Colombia","Skill level 4",9
"2015/16","Approved","Colombia","Skill level 5",27
"2015/16","Approved","Congo","(not recorded)",3
"2015/16","Approved","Congo","Skill level 1",0
"2015/16","Approved","Costa Rica","(not recorded)",0
"2015/16","Approved","Costa Rica","Skill level 1",6
"2015/16","Approved","Costa Rica","Skill level 3",0
"2015/16","Approved","Costa Rica","Skill level 4",3
"2015/16","Approved","Costa Rica","Skill level 5",0
"2015/16","Approved","Croatia","(not recorded)",147
"2015/16","Approved","Croatia","Skill level 1",21
"2015/16","Approved","Croatia","Skill level 2",12
"2015/16","Approved","Croatia","Skill level 3",33
"2015/16","Approved","Croatia","Skill level 4",9
